term,coefficient,odds_ratio
cat__merchant_category_edtech,-1.6882639306511353,0.18484014090893425
cat__email_domain_type_corporate,-1.6093148888957498,0.20002460622121127
cat__email_domain_type_personal,-1.4099326265436545,0.24415973248438458
cat__merchant_category_travel,-1.2355926006914393,0.29066246454352496
num__log_amount,1.126845914106266,3.085907915644004
cat__method_upi,-1.0062368004441782,0.3655921904864416
cat__method_emi,-0.8355990673385012,0.43361463924141136
cat__method_netbanking,-0.6131066216776521,0.5416655027393271
num__phone_verified,-0.5739545169122655,0.5632934748659053
cat__method_wallet,-0.5311903365706044,0.5879047484894305
cat__merchant_category_gaming,0.44270726103590835,1.5569164975017766
cat__merchant_category_d2c,-0.4000512551274009,0.6702856895767603
cat__merchant_category_subscription,-0.2529006574536727,0.7765450219518445
num__has_prior_history,-0.22844412690417254,0.7957707581382142
num__txns_last_24h,-0.17867726959744218,0.8363757797374819
num__account_age_days_at_txn,0.13421320982399135,1.143636628216744
num__ip_state_changed_from_prev_txn,0.13118785927511356,1.1401819549496628
cat__method_card,-0.12465565436511815,0.88280083886736
num__checkout_latency_ms,0.11562008665682175,1.1225693120501614
num__delivery_sla_days_filled,-0.11307535439511862,0.8930833598239909
num__is_foreign_bin,0.107131717528173,1.113080857083199
num__amount_vs_merchant_avg_ratio,-0.10594756031811166,0.8994718148550463
num__retry_count,0.10076015392125279,1.1060113374662564
num__is_physical_goods,-0.09316187530041328,0.9110460125121822
num__is_first_txn_for_device,0.08887906337267609,1.0929484708315562
cat__email_domain_type_unknown,-0.07535046765063183,0.9274183992180958
num__day_of_week,0.06644827289178545,1.068705681590943
num__refund_window_days,-0.0609030531734258,0.9409144540248678
num__is_night_txn,0.030501936721310567,1.030971886752071
cat__merchant_category_ticketing,0.023312702491718053,1.0235865675779992
num__merchant_dispute_rate_trailing_90d,0.01712375860287159,1.0172712105989667
cat__email_domain_type_disposable,-0.016190497305850236,0.9839398643076753
num__amount_vs_own_avg,0.013673688613649065,1.013767601048744
num__txns_last_7d,0.012468592116383303,1.012546649093902
num__prior_disputes_before_this_txn,-0.009956659547343446,0.990092743886981
num__hour_of_day,-0.009104618878787716,0.9909367026629569
num__distinct_devices_30d,-0.008178165271486921,0.991855184945662
num__account_age_implausible,0.0,1.0
